number,crn,name,days,time,room,instructor,avail_max,desc,gen_ed
AMST 194-01,10002,Introduction to Asian American Studies,M W F,01:10 pm-02:10 pm,HUM 212,Jake Nagasawa,-3 / 18,"This course introduces the basic issues and concepts of Asian American Studies. We begin by looking at the birth of Asian American Studies as a field in response to student protests in the late 1960s. We then proceed to an overview of Asian American history beginning with U.S. imperialism in Asia and moving up to the present moment. For the remainder of the course we’ll focus on particular topics such as: the model minority myth; anti-Asian violence; multiracial Asian American identity; and Asian American activism. The approach of this course is interdisciplinary; it draws on theoretical and methodological insights from academic disciplines such as history, ethnic studies, and sociology.",U.S. Identities and Differences
AMST 194-F1,10001,What's After White Empire (and is it already here)?,T R,03:00 pm-04:30 pm,HUM 212,Karin Aguilar-San Juan,0 / 16,"From the Philippine-American War (1898-1910) to the global uprisings of May 2020, white supremacy and US imperialism have marched hand-in-hand, buttressed by cultures of violence and literal guns and tanks. Yet cracks in the walls of racism and empire have also always existed, with gestures of solidarity and whole solidarity movements pushing forward with new possibilities and imagined futures. In this discussion-based course, we will look for the common threads that link David Fagen (Black U.S. army soldier who defected and joined the Philippine nationalists in 1899) to the Vietnam antiwar movement (1955-1975) and to Grace Lee Boggs (Chinese American philosopher activist based in Detroit, 1905-2015) along with many other individuals and events. Among the significant questions we will consider are: What makes an insurrectionist different from an ally or a rabble rouser or a survivalist? What lessons can be drawn from the global COVID pandemic and the Russian war in Ukraine? How can we replace a culture of violence with a culture of peace? Books and films include: The White Racial Frame (Joe Feagin), How to be an Anti-Racist (Ibram X. Kendi), ""Amigo"" (John Sayles), ""American Revolutionary"" (Grace Lee).",Writing WA
AMST 203-01,10545,Politics and Inequality: The American Welfare State,M W F,09:40 am-10:40 am,CARN 305,Lesley Lavery, Closed 0 / 25,"The readings and assignments in this course are designed to help students understand how social policies and programs contribute to Americans' lived experiences.  We will examine various theoretical justifications for the policies that constitute the American welfare state, then confront and dissect major strands of the American social safety net to better understand how political institutions and policy mechanisms contribute to both diversity and inequality in individuals' social, economic and political outcomes (based in race, class, gender, dis/ability, region, political jurisdiction, etc.).","Writing WA
                    U.S. Identities and Differences"
AMST 225-01,10352,Native History to 1871,M W F,10:50 am-11:50 am,HUM 111,Jacob Jurss, Closed 3 / 20,"The history of American Indians is wonderfully complex, but this history is simultaneously fraught with misconceptions and misinterpretations. European (and, later, Euro-Americans) alternated among fascination, fear, and frustration toward American Indians, while American Indians sought to maintain tribal sovereignty and control over their lands, cultures, religions, politics, and lifestyles amidst continuing encroachment and settlement. This course examines American Indian history to 1871 - the year that Congress stopped making treaties with Native nations - by considering the complicated and multifaceted history of the nation's indigenous people. By looking at American Indian interactions with Spanish, French, British, and American explorers, settlers, missionaries, militaries, and government officials, this courses argues that the history of American Indians is essential to understanding past as well as present issues. Furthermore, this course looks to move beyond the notion that American Indian history is one of inevitable decline by creating a more nuanced understanding of the American Indian experience from pre-contact toward the twentieth century.",
AMST 231-01,10820,"Sovereignty Matters: Critical Indigeneity, Gender and Governance",M,07:00 pm-10:00 pm,ARTCOM 102,Kirisitina Sailiata, Closed 1 / 16,"This course is an introduction to Indigenous law and politics within and beyond the borders of the United States. Through debates around Indigenous governance, we will explore key concepts and theoretical frameworks of Indigenous gender and sexuality as a core analytical frame and method. Indigenous self-determination as a research agenda involves “processes of transformation, of decolonization, of healing, and of mobilization,” according to Linda Tuhiwai Smith. Students will generate a research project engaged with the political imperatives of self-determination, feminist research methods as well as recent intersections and queries of Indigenous studies.",U.S. Identities and Differences
AMST 237-01,10003,Environmental Justice,T R,01:20 pm-02:50 pm,HUM 212,Kirisitina Sailiata,-1 / 20,"Since the early twentieth century, the environment and sustainability have been core platforms across most contemporary social movements. This course begins its focus on the history of environmental activism locally in the Twin Cities to flashpoints across the Mississippi River watershed and beyond. Through a study of key figures and cases, we will explore the history and mobilization of environmental, climate and sustainability activism; the relationship between colonial and capitalist systems to contemporary environmental racism and inequality; and divergent approaches to research and scientific philosophies and practices. Students will work collaboratively on a community-based research project as part of their course portfolio.",U.S. Identities and Differences
AMST 240-01,10791,"Race, Culture, and Ethnicity in Education",T R,03:00 pm-04:30 pm,THEATR 205,Gonzalo Guzmán,2 / 24,"This survey course will explore history, policy, and pedagogy as they relate to race, ethnicity, and culture as education. K-12 public education will be the primary focus with topics including desegregation, standardized testing, multi-cultural and ethnocentric pedagogy, the teacher's role and experience, and significant historical events in education. The course will culminate by analyzing current trends and future expectations in education.",U.S. Identities and Differences
AMST 270-01,10005,Black Public Intellectuals,W,07:00 pm-10:00 pm,HUM 400,Duchess Harris,4 / 25,"This course will address the tradition of public intellectuals in numerous Black communities. We will expand the definition of ""politics"" to include theater, literature, and film. We will interrogate the concept of who chooses the scholarly leaders for Black communities. We will examine numerous topics such as Communism, The American Dream, Incarceration, Feminism, and Ebony Voices in the Ivory Tower.",U.S. Identities and Differences
AMST 271-01,10355,"Uses and Abuses: Drugs, Addiction and Recovery",M W F,01:10 pm-02:10 pm,HUM 302,Amy Sullivan, Closed 0 / 20,"After a brief but essential global history of drugs, this course will focus primarily on the 20th century to the present. We will examine histories of substance use and abuse, temperance and prohibition, the ""War on Drugs,"" the shifting concept of addiction as a moral failing to addiction as a treatable disease, as well as study the history of the recovery movement and harm reduction. This course is not intended to be an exhaustive, comprehensive history of the subject-but it will provide you with a solid base from which to explore other aspects of this fascinating and contentious aspect of human history.",U.S. Identities and Differences
AMST 294-01,10006,Endarkened Feminist Epistemologies,M W F,10:50 am-11:50 am,HUM 112,Ebony Aya,10 / 20,"Endarkened Feminist Epistemology (EFE) is an approach to research that honors the wisdom, memory, spirituality, and critical interventions of transnational Black woman’s ways of knowing (Dillard, 2016). A framework created by scholar Dr. Cynthia Dillard, it articulates how reality is known from the vantage point of transnational Black women -transnational recognizing the connections between African descended women throughout the diaspora as well as the continent. This class will explore EFE’s claims and methodologies, as well as center other transnational Black women whose work helps us make connections between history, spirituality, and our collective positionality within academia.",
